seqid,name,license_id,factype,lictype,address1,address2,address3,city,state,zipcode,hosp_beds,year,add_orig,match_note,score,match_add,xcoord,ycoord
0,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF JOHNSTON,RHC02107,Hospital,Rehab Hospital Center,2109 HARTFORD AVENUE,,,JOHNSTON,RI,02919,50,2026,,MANUAL MATCH,,,321512,273216
1,REHABILITATION HOSPITAL OF RHODE ISLAND LLC,RHC02106,Hospital,Rehab Hospital Center,116 EDDIE DOWLING HIGHWAY,,,NORTH SMITHFIELD,RI,02896,82,2026,,MULTIPLE MATCHES,100,"116 EDDIE DOWLING HWY, NORTH SMITHFIELD, RI, 02896",324593.69228101225,327278.08681994583
2,BUTLER HOSPITAL,HOS00124,Hospital,Hospital,345 BLACKSTONE BOULEVARD,PRESIDENT AND COO,345 BLACKSTONE BOULEVARD,PROVIDENCE,RI,02906,168,2026,"MARY E. MARRAN, MS, OT, MBA PROVIDENCE 02906",MULTIPLE MATCHES,100,"345 BLACKSTONE BLVD, PROVIDENCE, RI, 02906",360479.7978895488,276938.6880357898
3,ELEANOR SLATER HOSPITAL,HOS00102,Hospital,Hospital,3 REGAN COURT,,,CRANSTON,RI,02920,178,2026,,ONE MATCH,100,"3 REGAN CT, CRANSTON, RI, 02920",338119.36611324456,240988.42446562994
4,EMMA PENDLETON BRADLEY HOSPITAL,HOS00123,Hospital,Hospital,1011 VETERANS MEMORIAL PARKWAY,,,RIVERSIDE,RI,02915,70,2026,,MULTIPLE MATCHES,95.3,"1011 VETERANS MEMORIAL PKWY, EAST PROVIDENCE, RI, 02915",363798.04195367114,258495.53270535462
5,KENT COUNTY MEMORIAL HOSPITAL,HOS00125,Hospital,Hospital,455 TOLL GATE ROAD,,,WARWICK,RI,02886,359,2026,,MULTIPLE MATCHES,100,"455 TOLL GATE RD, WARWICK, RI, 02886",333851.1186088443,227192.7811331402
6,LANDMARK MEDICAL CENTER,HOS00134,Hospital,Hospital,115 CASS AVENUE,ATTEN  ADMINISTRATION,,WOONSOCKET,RI,02895,214,2026,,MULTIPLE MATCHES,100,"115 CASS AV, WOONSOCKET, RI, 02895",329277.544725416,335827.89965251664
7,NEWPORT HOSPITAL,HOS00127,Hospital,Hospital,11 FRIENDSHIP STREET,,,NEWPORT,RI,02840,129,2026,,ONE MATCH,100,"11 FRIENDSHIP ST, NEWPORT, RI, 02840",381177.7543818569,150913.6287774762
8,OUR LADY OF FATIMA HOSPITAL,HOS00132,Hospital,Hospital,200 HIGH SERVICE AVENUE,,,NORTH PROVIDENCE,RI,02904,312,2026,,MULTIPLE MATCHES,92.08,"200 HIGH SERVICE AV, NORTH PROVIDENCE, RI, 02911",338746.4222420909,281472.3481078948
9,RHODE ISLAND HOSPITAL,HOS00121,Hospital,Hospital,593 EDDY STREET,,,PROVIDENCE,RI,02903,719,2026,,MANUAL MATCH,100,"593 EDDY ST, PROVIDENCE, RI, 02903",352862.434986831,265450.9228263157
10,RHODE ISLAND STATE PSYCHIATRIC HOSPITAL,HOS00135,Hospital,Hospital,45 HOWARD AVENUE,,,CRANSTON,RI,02920,53,2026,,ONE MATCH,100,"45 HOWARD AVE, CRANSTON, RI, 02920",337516.7603666328,241785.12619059667
11,ROGER WILLIAMS MEDICAL CENTER,HOS00133,Hospital,Hospital,825 CHALKSTONE AVENUE,,,PROVIDENCE,RI,02908,220,2026,,MANUAL MATCH,100,"825 CHALKSTONE AV, PROVIDENCE, RI, 02908",345765.18902292347,273771.30659775337
12,SOUTH COUNTY HEALTH,HOS00114,Hospital,Hospital,100 KENYON AVENUE,,,WAKEFIELD,RI,02879,100,2026,,ONE MATCH,93.28,"100 KENYON AV, SOUTH KINGSTOWN, RI, 02879",329049.2856339113,126850.60167391796
13,THE MIRIAM HOSPITAL,HOS00122,Hospital,Hospital,164 SUMMIT AVENUE,,,PROVIDENCE,RI,02906,247,2026,,ONE MATCH,100,"164 SUMMIT AV, PROVIDENCE, RI, 02906",355803.1358008614,279999.3801417109
14,WESTERLY HOSPITAL,HOS00129,Hospital,Hospital,25 WELLS  ST,,,WESTERLY,RI,02891,125,2026,,MULTIPLE MATCHES,100,"25 WELLS ST, WESTERLY, RI, 02891",238754.32942368079,101761.51517223722
15,WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,HOS00126,Hospital,Hospital,101 DUDLEY STREET,,,PROVIDENCE,RI,02905,167,2026,,ONE MATCH,100,"101 DUDLEY ST, PROVIDENCE, RI, 02905",352051.45566639886,265142.83611216437
16,PROVIDENCE VA MEDICAL CENTER,VHA_650,Hospital,Federal Hospital,830 CHALKSTONE AVENUE,,,PROVIDENCE,RI,02908,73,2026,,MULTIPLE MATCHES,100,"830 CHALKSTONE AV, PROVIDENCE, RI, 02908",346302.1971503692,272831.6504481891
