"org_ID","parent_ID","code","finance_code","name","name_short_30","name_short_15","org_type_ID","org_type","active","location_address1","location_address2","location_address3","location_city","location_state","location_zip","location","location_zip_ext","location_phone","location_fax","location_email","location_web_site","grade_code_low","grade_code_high","grade_span","contact_title_ID","title","user_firstname","user_middlename","user_lastname","user_suffix","contact_ID","fullname","role_name","role_ID","contact_phone","contact_phone2","contact_phone3","contact_fax","contact_email","group_code","group_name","group_ID","listing_order","sch_sub_type_ID","sch_sub_type_name","role_sort_order","source"
"3524","2850","41607","","Achievement First Envision Elementary","Achievement First Envision Ele","AF Envision ","2","School","Y","370 Hartford Ave","","","Providence","RI","02909","Providence, RI  02909","","(401) 633-6261","","CynthiaLouis@achievementfirst.org","https://www.achievementfirst.org/school/achievement-first-envision-elementary-school/","KF","04","KF - 04","2","Principal","Cynthia","","Louis-Dale","","6919","Cynthia  Louis-Dale","Principal","2","(401) 633-6261","","","","cynthialouis@achievementfirst.org","Providence","City of Providence","","","11","Charter School","5","RIDE_Apr  1 2025  9:36AM"
"3024","2850","28614","","Achievement First Iluminar Mayoral Academy","Achievement First Iluminar","Achievement","2","School","Y","85 Garfield Avenue","","","Cranston","RI","02920","Cranston, RI  02920","","(401) 347-1116","(401) 633-6677","josephfink@achievementfirst.org","https://www.achievementfirst.org/school/achievement-first-iluminar-mayoral-academy-elementary-school","KF","04","KF - 04","2","Principal","Jospeh","","Fink","","4083","Jospeh  Fink","Principal","2","(401) 347-1116","","","(401) 633-6677","josephfink@achievementfirst.org","","","","","11","Charter School","5","RIDE_Apr  1 2025  9:36AM"
"3449","2850","41605","","Achievement First Promesa Elementary","Achievement First Promesa","AF Promesa","2","School","Y","234 Daboll St","","","Providence","RI","02907","Providence, RI  02907","","(401) 347-1125","(401) 437-5663","mindyrice@achievementfirst.org","","KF","05","KF - 05","2","Principal","Jennifer","","Andrade","","5775","Jennifer  Andrade","Principal","2","(401) 347-1125","","","(401) 437-5663","jenniferandrade@achievementfirst.org","","","","","11","Charter School","5","RIDE_Apr  1 2025  9:36AM"
"3523","2850","41606","","Achievement First Providence High School","Achievement First Providence H","AF Prov High","2","School","Y","206 Elmwood Ave","","","Providence","RI","02907","Providence, RI  02907","","(401) 347-1126","(401) 386-2290","prhs_ops@achievementfirst.org","https://www.achievementfirst.org/school/af-providence-high/","09","12","09 - 12","269","Principal (9-12)","Aja","","Davis","","6365","Aja  Davis","Principal","2","(401) 347-1126","","","(401) 386-2290","ajadavis@achievementfirst.org","Providence","City of Providence","","","11","Charter School","5","RIDE_Apr  1 2025  9:36AM"
"2851","2850","28609","","Achievement First Providence Mayoral Academy","Achievement First Providence","Achievement Fir","2","School","Y","370 Hartford Avenue","","","Providence","RI","02909","Providence, RI  02909","","(401) 347-1106","","BreonnaHudgins@achievementfirst.org","www.achievementfirst.org/schools/rhode-island-schools/","KF","04","KF - 04","2","Principal","Breonna ","","Hudgins","","5125","Breonna   Hudgins","Principal","2","(401) 302-0130","","","","BreonnaHudgins@achievementfirst.org","Providence","City of Providence","","","11","Charter School","5","RIDE_Apr  1 2025  9:36AM"
"3367","2850","41604","","AF Iluminar Mayoral Academy Middle School","AF Iluminar Mayoral Middle Sch","AF Iluminar Mid","2","School","Y","85 Garfield Avenue","","","Cranston","RI","02920","Cranston, RI  02920","","(401) 347-1118","(401) 633-6677","katelynmike@achievementfirst.org","www.achievementfirst.org/schools/rhode-island-schools/","05","08","05 - 08","","","","","","","","  ","","","(401) 347-1118","","","(401) 633-6677","katelynmike@achievementfirst.org","","","","","11","Charter School","","RIDE_Apr  1 2025  9:36AM"
"3270","2850","28615","","AF Providence Mayoral Academy Middle","AF Providence Mayoral Middle","AF Providence M","2","School","Y","370 Hartford Avenue","","","Providence","RI","02909","Providence, RI  02909","","(401) 347-1120","","DonovanTracey@achievementfirst.org","http://www.achievementfirst.org/schools/rhode-island-schools/","05","08","05 - 08","2","Principal","Colleen","","Preusse","","6197","Colleen  Preusse","Principal","2","(401) 347-1120","","","","colleenpreusse@achievementfirst.org","","","","","11","Charter School","5","RIDE_Apr  1 2025  9:36AM"
"285","51","07135","","Apprenticeship Exploration School","Apprenticeship Exploration Sch","Apprenticeship","2","School","Y","4 Sharpe Drive","","","Cranston","RI","02920","Cranston, RI  02920","","(401) 270-8692","(401) 270-8697","ltavares@cpsed.net","https://www.nelscharterschool.net/","09","12","09 - 12","2","Principal","Lindsey","","Tavares","","6446","Lindsey  Tavares","Principal","2","(401) 270-8692","","","(401) 270-8697","ltavares@cpsed.net","Cranston","City of Cranston","","","3","Local Charter","5","RIDE_Apr  1 2025  9:36AM"
"1519","44","39601","","BEACON Charter School","BEACON Charter School","BEACON","2","School","Y","320 Main Street","","","Woonsocket","RI","02895","Woonsocket, RI  02895","","(401) 671-6261","(401) 671-6264","mskeldon@beaconart.org","www.beaconart.org","09","12","09 - 12","2","Principal","Robin","","Murphy","","4897","Robin  Murphy","Principal","2","(401) 671-6261","","","(401) 671-6264","rmurphy@beaconart.org","Woonsocket","City of Woonsocket","","","11","Charter School","5","RIDE_Apr  1 2025  9:36AM"
"1517","45","26602","","Blackstone Academy Charter School","Blackstone Academy Charter","Blackstone","2","School","Y","334 Pleasant Street","","","Pawtucket","RI","02860","Pawtucket, RI  02860","","(401) 726-1750","(401) 726-1753","kcarpenter@blackstoneacademy.org","www.blackstoneacademy.org","09","12","09 - 12","2","Principal","Kyleen","E.","Carpenter","","1330","Kyleen E. Carpenter","Principal","2","(401) 726-1750x101","","","(401) 726-1753","kcarpenter@blackstoneacademy.org","Pawtucket","City of Pawtucket","","","11","Charter School","5","RIDE_Apr  1 2025  9:36AM"
